DOB general description,DOB Occupancy Categorization,DOB Occupancy Code 2008,DOB Occupancy Code 1968,DOB detailed description,Building Code,DCP classification_OLD,DCP_Classification_New
Residential,RESIDENTIAL 1-2 FAMILY HOUSES,R-3,J-3,"not more than 2 apartments, 1 & 2 Family House, on a long term basis (for a month or more)",2008,Residential,Residential: 1 & 2 Family
Residential,RESIDENTIAL APT HOUSE,R-2,J-2,"more than 2 dwelling units on a long term basis (for a month or more). Pre-2008, also apartment houses, apartment hotels, rooming houses, school dormitory and institution housing persons, on a 24-hour basis, capable of self-preservation and responding to an emergency situation without physical assistance from staff",2008,Residential,Residential: Multi-Family
Residential,RESIDENTIAL APT HOUSE,R-2,J-0,"more than 2 dwelling units on a long term basis (for a month or more). Pre-2008, also apartment houses, apartment hotels, rooming houses, school dormitory and institution housing persons, on a 24-hour basis, capable of self-preservation and responding to an emergency situation without physical assistance from staff",2008,Residential,Residential: Multi-Family
Residential,RESIDENTIAL: 1 & 2 FAMILY HOUSES,R-3,J-3,"not more than 2 apartments, 1 & 2 Family House, on a long term basis (for a month or more)",2008,Residential,Residential: 1 & 2 Family
Residential,RESIDENTIAL: APARTMENT HOUSES,R-2,J-2,"more than 2 dwelling units on a long term basis (for a month or more). Pre-2008, also apartment houses, apartment hotels, rooming houses, school dormitory and institution housing persons, on a 24-hour basis, capable of self-preservation and responding to an emergency situation without physical assistance from staff",2008,Residential,Residential: Multi-Family
Residential,"RESIDENTIAL: HOTELS, DORMITORIES",R-1,J-1,"occupied transiently (for less than one month), or school dormitory",2008,Other Accommodations,Hotel or Dormitory
Storage,STORAGE (LOW HAZARD),S-2,B-2,low-hazard storage occupancy for non-combustible materials,2008,Storage,"Industrial, Storage & Utilities"
Storage,STORAGE (MODERATE HAZARD),S-1,B-1,"moderate-hazard storage occupancy for any flammable or combustible
materials",2008,Storage,"Industrial, Storage & Utilities"
Storage,STORAGE: LOW HAZARD,S-2,B-2,low-hazard storage occupancy for non-combustible materials,2008,Storage,"Industrial, Storage & Utilities"
Storage,STORAGE: MODERATE HAZARD,S-1,B-1,"moderate-hazard storage occupancy for any flammable or combustible
materials",2008,Storage,"Industrial, Storage & Utilities"
Residential,THREE FAMILY DWELLING,,J-2,,1968,Residential,Residential: Multi-Family
Utility and Miscellaneous,UTILITY / MISCELLANEOUS,U,K,"structures of an accessory or temporary character and minor occupancies not classified in any other specific occupancy group (e.g. sheds, fences, signs).",2008,Misc,Garage/Miscellaneous
Commercial,COM,,COM,"Old Code – Commercial Buildings: Only applicable to buildings built before 1968. Structures which are not public buildings or residence buildings, including among others, office buildings, salesrooms (stores), markets, warehouses, and restaurants.",pre-1968,Commercial,Commercial
Institutional,PUB,,PUB,"Old Code – Public Buildings: Only applicable to buildings built before 1968. Structures in
which persons congregate for civic, political, educational, religious or recreational purposes, or in
which are harbored to receive medical treatment, or are detained by reason of public duty.",pre-1968,Civic,Public
Residential,RES,,RES,"Old Code – Residence Buildings: Only applicable to buildings built before 1968. Structures in which sleeping accommodations are provided, except such as may for other reasons be classed as public buildings",pre-1968,Residential,Residential
